name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count
꽃동산 옆 개방화장실,서울 서초구 양재동 236,0,0,:~:,37.47073568,127.0365951,0,0
서울서초우체국 개방화장실,서울 서초구 양재동 324-2,0,0,:~:,37.46988719,127.0412476,0,0
양재2동주민센터 개방화장실,서울 서초구 양재동 323-1,0,0,:~:,37.47064403,127.0412842,0,0
화장실,경기 성남시 수정구 창곡동 499-165,0,0,:~:,37.46880041,127.1354589,0,0
새울빌딩 개방화장실,서울 금천구 독산동 287-7,0,0,:~:,37.4705504,126.8985382,0,0
난곡동주민센터 개방화장실,서울 관악구 신림동 633-56,0,0,:~:,37.47093163,126.9216728,0,0
1-8 삼성동 개방화장실,서울 관악구 신림동 808-498,0,0,:~:,37.46867229,126.930982,0,0
삼성동주민센터 개방화장실,서울 관악구 신림동 1528,0,0,:~:,37.47010603,126.932942,0,0
낙성배드민턴장 옆 개방화장실,서울 관악구 봉천동 738-332,0,0,:~:,37.47159504,126.9574153,0,0
낙성대 개방화장실,서울 관악구 봉천동 228,0,0,:~:,37.47194359,126.9595833,0,0
양재근린공원 개방화장실,서울 서초구 양재동 311,0,0,:~:,37.47180954,127.0424142,0,0
족구장 옆 개방화장실,서울 서초구 양재동 236,0,0,:~:,37.47184728,127.0373745,0,0
원형광장 개방화장실,서울 서초구 양재동 236,0,0,:~:,37.47149314,127.0345697,0,0
복정역 환승공영주차장 개방화장실,서울 송파구 장지동 600-2,0,0,:~:,37.47021622,127.1270566,0,0
복정역 분당선 개방화장실,서울 송파구 장지동 596-21,0,0,:~:,37.47105537,127.1267698,0,0
완불주유소 화장실,서울 송파구 장지동 608-5,0,0,:~:,37.47099475,127.1261683,0,0
완불주유소 개방화장실,서울 송파구 장지동 608-5,0,0,:~:,37.47111099,127.1261538,0,0
독산3동공영주차장 개방화장실,서울 금천구 독산동 161-23,0,0,:~:,37.47216525,126.89927,0,0
건국빌딩 개방화장실,서울 금천구 독산동 288-1,0,0,:~:,37.4711584,126.8977294,0,0
국민은행독산동지점 개방화장실,서울 금천구 독산동 159-22,0,0,:~:,37.47181153,126.898651,0,0
우림시장 개방화장실,서울 관악구 신림동 637-1,0,0,:~:,37.47027846,126.92043,0,0
1-10 삼성동 개방화장실,서울 관악구 신림동 808-502,0,0,:~:,37.4688195,126.9315719,0,0
성주산생활체육공원 화장실,경기 부천시 소사본동 367,0,0,:~:,37.47212219,126.7898265,0,0
난곡주유소 개방화장실,서울 관악구 신림동 616-1,0,0,:~:,37.47340745,126.9187728,0,0
명화가스 개방화장실,서울 관악구 봉천동 1594-8,0,0,:~:,37.47377761,126.9534957,0,0
대공원주유소 개방화장실,서울 관악구 남현동 602-306,0,0,:~:,37.47281953,126.9821564,0,0
삼일빌딩 개방화장실,서울 금천구 독산동 148-17,0,0,:~:,37.47334146,126.8955695,0,0
독산도서관 개방화장실,서울 금천구 독산동 375-2,0,0,:~:,37.46755927,126.9080888,0,0
서림동주민센터 개방화장실,서울 관악구 신림동 1694-7,0,0,:~:,37.47499784,126.9349635,0,0
